Sample	Glyco_Genes_Sum	Corr	type
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx24	0.014352939	0.19047619047619	HAEMATOPOIETIC
TYKNU_OVARY_TenPx08	0.01389146	0.547619047619048	OVARY
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx31	0.017567798	0.142857142857143	HAEMATOPOIETIC
UACC257_SKIN_TenPx11	0.015363192	0.476190476190476	SKIN
UACC62_SKIN_TenPx21	0.017676469	0.476190476190476	SKIN
WM115_SKIN_TenPx29	0.017390413	0.428571428571429	SKIN
WM1799_SKIN_TenPx08	0.018618829	0.690476190476191	SKIN
WM2664_SKIN_TenPx02	0.02452629	0.404761904761905	SKIN
WM793_SKIN_TenPx18	0.010871589	0.785714285714286	SKIN
WM88_SKIN_TenPx32	0.016492391	0.547619047619048	SKIN
ZR751_BREAST_TenPx10	0.025442934	0.476190476190476	BREAST
